doctor_id,name,specialization,phone_number
DOC001,"Dr. Ratna Wijaya","Obgyn","+6281122233344"
DOC002,"Dr. Budi Santoso","Umum","+628119998877"
DOC101,"Dr. Joko Santoso","Umum","+628111223344"
DOC102,"Dr. Maria Lestari","Spesialis Jantung","+628112345678"
DOC003,"Dr. Wahyu Nugroho","Penyakit Dalam","+628112221111"
DOC004,"Dr. Clara Susanto","Umum","+628118889999"
DOC005,"Dr. Rina Maharani","Spesialis Penyakit Dalam","+6281111112222"
DOC006,"Dr. Agus Wijaya","Umum","+628122223333"
DOC007,"Dr. Samuel Hartono","Spesialis Jantung","+628133334444"
DOC010,"Dr. Lestari Wulandari","Spesialis Penyakit Dalam","+628111223344"
DOC011,"Dr. Bambang Sutrisno","Umum","+628122223344"
DOC012,"Dr. Aditya Gunawan","Spesialis Gastroenterologi","+628133334455"
DOC100,"Dr. Ratna Wijayanti","Spesialis Penyakit Dalam","+628111112222"
DOC101,"Dr. Fajar Nugroho","Umum","+628122223333"
DOC102,"Dr. Hendra Prakoso","Spesialis Jantung","+628133334444"
DOC200,"Dr. Maya Pratiwi","Spesialis Penyakit Dalam","+628211112223"
DOC201,"Dr. Aditya Kusuma","Spesialis Endokrinologi","+628222223334"
DOC202,"Dr. Sinta Lestari","Umum","+628233334445"
DOC300,"Dr. Rina Wijaya","Spesialis Paru","+628211234567"
DOC301,"Dr. Bimo Santoso","Spesialis Penyakit Dalam","+628212345678"
DOC302,"Dr. Ratna Dewi","Umum","+628213456789"
DOC500,"Dr. Suryo Adi","Spesialis Jantung & Hipertensi","+628111223344"
DOC501,"Dr. Maya Putri","Spesialis Penyakit Dalam","+628122334455"
DOC502,"Dr. Toni Wijaya","Umum","+628133445566"
